,article_size,summary_size,prompt_tokens,completion_tokens,total_tokens,status,lang,delta,id
1131,6617,724,2186,181,2367,200,en,5.210266,1565
1132,1122,203,1109,94,1203,200,ru,2.627986,1572
1133,1667,328,1350,146,1496,200,ru,4.319989,1573
1134,810,199,953,91,1044,200,ru,2.989719,1574
1135,2698,617,1216,154,1370,200,en,5.945364,1598
1136,3176,638,1326,159,1485,200,en,4.197729,1599
1137,2687,626,1219,156,1375,200,en,4.565206,1600
1138,1667,270,1350,119,1469,200,ru,3.524628,1573
1139,810,232,953,105,1058,200,ru,3.54891,1574
1140,1349,245,1209,114,1323,200,ru,3.352493,1577
1141,2482,306,1721,137,1858,200,ru,4.393682,1578
1142,1639,622,1334,287,1621,200,ru,6.887773,1579
1143,1981,457,1493,212,1705,200,ru,5.178841,1580
1144,1623,492,1340,228,1568,200,ru,5.389258,1581
1145,1981,548,1493,254,1747,200,ru,5.889048,1580
1146,1623,475,1340,220,1560,200,ru,5.560717,1581
1147,1459,342,1254,155,1409,200,ru,3.95198,1582
1148,3247,417,2075,192,2267,200,ru,4.984669,1583
1149,936,492,770,123,893,200,en,4.174276,1584
1150,484,274,656,68,724,200,en,2.249476,1585
1151,2337,546,1124,136,1260,200,en,4.538009,1586
1152,3229,540,1343,135,1478,200,en,4.500837,1587
1153,7897,1022,2540,255,2795,200,en,8.216508,1588
1154,4357,596,1625,149,1774,200,en,4.280295,1589
1155,484,274,656,68,724,200,en,2.112554,1585
1156,2337,525,1124,131,1255,200,en,4.243253,1586
1157,3229,542,1343,135,1478,200,en,4.119875,1587
1158,7897,892,2540,223,2763,200,en,6.317331,1588
1159,4357,596,1625,149,1774,200,en,4.536425,1589
1160,2639,569,1197,142,1339,200,en,3.990308,1602
1161,2249,542,1106,135,1241,200,en,3.882182,1603
1162,1876,296,1448,134,1582,200,ru,4.912456,1604
1163,8065,1243,4233,564,4797,200,ru,12.561501,1605
1164,4143,357,2471,163,2634,200,ru,4.781497,1606
1165,3148,191,2018,85,2103,200,ru,3.875444,1610
1166,5014,393,2861,170,3031,200,ru,7.36361,1611
1167,2406,501,1143,125,1268,200,en,4.082378,1815
1168,2249,539,1106,134,1240,200,en,4.950203,1603
1169,1876,349,1448,157,1605,200,ru,5.758508,1604
1170,8065,634,4233,290,4523,200,ru,7.263415,1605
1171,752,47,938,20,958,200,ru,1.108779,1614
1172,3391,334,2105,149,2254,200,ru,5.004096,1615
1173,4839,415,2755,188,2943,200,ru,5.721003,1616
1174,3225,253,2043,115,2158,200,ru,3.729623,1617
1175,3727,376,2287,170,2457,200,ru,5.932873,1620
1176,3948,237,2394,105,2499,200,ru,4.008039,1621
1177,4945,342,2865,154,3019,200,ru,4.730583,1622
1178,79054,829,36210,374,36584,200,ru,12.291179,1623
1179,3052,520,1304,130,1434,200,en,4.209017,1624
1180,2636,710,1199,177,1376,200,en,5.154143,1625
1181,678,157,906,73,979,200,ru,2.079959,1634
1182,3391,406,2105,174,2279,200,ru,7.051606,1615
1183,3225,376,2043,170,2213,200,ru,6.102995,1617
1184,2144,529,1079,132,1211,200,en,5.805503,1626
1185,3609,586,1442,146,1588,200,en,4.935293,1627
1186,2767,729,1225,182,1407,200,en,5.335769,1628
1187,7534,938,2415,234,2649,200,en,7.584158,1629
1188,422,186,783,84,867,200,ru,2.475137,1630
1189,1606,810,1301,364,1665,200,ru,14.116006,1631
1190,1549,342,1310,158,1468,200,ru,4.558375,1632
1191,1439,480,1241,219,1460,200,ru,5.267917,1633
1192,1253,190,1172,87,1259,200,ru,3.079623,1635
1193,873,201,996,94,1090,200,ru,2.611427,1636
1194,815,235,962,109,1071,200,ru,2.768182,1641
1195,910,143,1003,66,1069,200,ru,4.013815,1642
1196,785,263,935,110,1045,200,ru,5.683712,1652
1197,1755,452,1276,193,1469,200,ru,5.432273,1653
1198,1218,342,1124,154,1278,200,ru,3.78606,1654
1199,934,523,1012,229,1241,200,ru,6.572421,1655
1200,1784,471,981,117,1098,200,en,4.084759,1816
1201,2405,494,1138,123,1261,200,en,3.880624,1817
1202,739,240,906,112,1018,200,ru,3.468419,1656
1203,2429,756,1696,347,2043,200,ru,8.293054,1657
1204,1680,501,1352,226,1578,200,ru,5.970403,1658
1205,2062,583,1524,261,1785,200,ru,7.430503,1661
1206,2429,733,1696,338,2034,200,ru,7.064258,1657
1207,1680,475,1352,214,1566,200,ru,6.215503,1658
1208,1499,472,1268,217,1485,200,ru,4.894825,1662
1209,1077,324,1085,149,1234,200,ru,3.87402,1663
1210,2103,873,1554,394,1948,200,ru,11.547286,1668
1211,617,86,864,40,904,200,ru,1.530988,1672
1212,706,199,912,88,1000,200,ru,2.768399,1673
1213,2129,390,1561,178,1739,200,ru,4.643068,1674
1214,2056,403,1526,184,1710,200,ru,4.383263,1680
1215,2743,395,1827,172,1999,200,ru,6.524576,1681
1216,3039,581,1961,262,2223,200,ru,8.0205,1682
1217,2880,392,1893,175,2068,200,ru,5.738308,1683
1218,1414,303,1228,138,1366,200,ru,3.554779,1684
1219,8270,656,4298,302,4600,200,ru,5.800472,1685
1220,2487,608,1729,282,2011,200,ru,7.756685,1686
1221,1513,138,1285,63,1348,200,ru,2.505843,1687
1222,9383,1361,4913,622,5535,200,ru,14.874526,1688
1223,3602,526,1435,131,1566,200,en,5.383423,1689
1224,2513,548,1168,137,1305,200,en,5.341309,1696
1225,2044,405,1046,101,1147,200,en,3.586505,1702
1226,3607,677,1451,169,1620,200,en,5.021193,1703
1227,775,405,947,179,1126,200,ru,6.393852,1704
1228,1045,350,1055,160,1215,200,ru,4.525303,1705
1229,1337,422,1200,193,1393,200,ru,4.593112,1706
1230,9913,692,5087,307,5394,200,ru,8.25593,1707
1231,1996,567,1495,256,1751,200,ru,6.457056,1708
1232,3726,652,1477,163,1640,200,en,5.819867,100
1233,1560,161,1313,73,1386,200,ru,1.942996,1709
1234,1402,506,1220,230,1450,200,ru,6.387083,1710
1235,1237,258,1156,117,1273,200,ru,4.227334,1712
1236,1665,336,1345,154,1499,200,ru,4.125395,1713
1237,2794,316,1843,139,1982,200,ru,3.967351,1714
1238,1145,457,1112,206,1318,200,ru,6.493938,1715
1239,1402,385,1220,174,1394,200,ru,5.392455,1710
1240,1024,98,1044,43,1087,200,ru,2.463798,1716
1241,878,176,988,80,1068,200,ru,2.672236,1717
1242,1204,223,1139,101,1240,200,ru,2.779698,1718
1243,1340,369,1207,171,1378,200,ru,5.138714,1719
1244,1175,286,1130,131,1261,200,ru,4.349827,1720
1245,1175,369,1130,167,1297,200,ru,4.904263,1720
1246,2198,267,1611,124,1735,200,ru,3.613974,1721
1247,1038,359,1057,162,1219,200,ru,5.363832,1722
1248,838,181,968,82,1050,200,ru,2.714509,1723
1249,4756,437,2742,198,2940,200,ru,6.338682,1724
1250,5480,690,3030,318,3348,200,ru,8.988975,1725
1251,3449,439,2133,197,2330,200,ru,5.845062,1726
1252,4421,327,2545,147,2692,200,ru,4.481163,1727
1253,6526,226,3532,104,3636,200,ru,3.881297,1728
1254,3598,359,2217,162,2379,200,ru,4.932587,1730
1255,5480,705,3030,324,3354,200,ru,12.949361,1725
1256,3449,286,2133,126,2259,200,ru,6.100665,1726
1257,3598,319,2217,145,2362,200,ru,4.332177,1730
1258,1144,385,1107,175,1282,200,ru,4.696313,1737
1259,3729,409,2284,179,2463,200,ru,5.301704,1738
1260,9279,1000,4709,448,5157,200,ru,15.11485,1739
1261,9281,527,4777,242,5019,200,ru,5.778863,1740
1262,346,125,750,58,808,200,ru,2.040577,1741
1263,3237,538,2040,245,2285,200,ru,7.192402,1742
1264,3426,831,1413,207,1620,200,en,6.038317,1743
1265,2150,733,1078,183,1261,200,en,4.905623,1747
1266,1074,388,803,97,900,200,en,3.557902,1748
1267,347,164,619,41,660,200,en,1.463165,1749
1268,5449,657,1912,164,2076,200,en,5.51741,1750
1269,3729,363,2284,160,2444,200,ru,5.771916,1738
1270,346,125,750,58,808,200,ru,1.93338,1741
1271,3426,799,1413,199,1612,200,en,6.235811,1743
1272,1293,515,1178,234,1412,200,ru,6.531583,1756
1273,5335,921,3018,418,3436,200,ru,10.554765,1757
1274,490,195,654,49,703,200,en,2.343877,1758
1275,531,218,666,54,720,200,en,1.915764,1760
1276,656,321,698,80,778,200,en,2.36936,1761
1277,471,220,649,55,704,200,en,1.96552,1762
1278,594,136,684,34,718,200,en,1.922836,1763
1279,393,246,768,110,878,200,ru,2.592627,1764
1280,490,161,654,40,694,200,en,1.896432,1758
1281,447,231,796,105,901,200,ru,3.02515,1767
1282,210,114,688,53,741,200,ru,1.788814,1768
1283,282,174,721,80,801,200,ru,2.612889,1769
1284,483,353,817,164,981,200,ru,4.285376,1770
1285,332,250,739,111,850,200,ru,3.208769,1773
1286,401,246,774,111,885,200,ru,2.968617,1774
1287,210,102,688,47,735,200,ru,1.763248,1768
1288,483,340,817,158,975,200,ru,3.787462,1770
1289,558,240,833,103,936,200,ru,2.823518,1775
1290,487,308,812,138,950,200,ru,4.178087,1776
1291,1331,283,1175,123,1298,200,ru,3.047319,1777
1292,289,198,720,89,809,200,ru,2.545655,1778
1293,192,120,675,53,728,200,ru,1.738167,1780
1294,73,52,625,24,649,200,ru,1.2378,1781
1295,289,169,720,76,796,200,ru,2.158067,1778
1296,192,79,675,32,707,200,ru,1.713558,1780
1297,73,63,625,29,654,200,ru,1.416446,1781
1298,2412,668,1137,167,1304,200,en,4.017947,1784
1299,4424,458,1675,114,1789,200,en,4.389264,1785
1300,2962,489,1273,122,1395,200,en,4.641223,1786
1301,2964,565,1276,141,1417,200,en,4.643075,1787
1302,2715,589,1211,147,1358,200,en,5.617647,1788
1303,2888,448,1275,112,1387,200,en,4.899847,1789
1304,1727,326,969,81,1050,200,en,2.954445,1790
1305,2964,483,1276,120,1396,200,en,3.49877,1787
1306,2715,614,1211,154,1365,200,en,4.904918,1788
1307,935,354,764,88,852,200,en,3.203419,1793
1308,1002,297,784,74,858,200,en,2.59888,1794
1309,1262,284,846,71,917,200,en,2.33371,1795
1310,978,304,777,76,853,200,en,3.006769,1796
1311,1004,320,784,80,864,200,en,2.849189,1797
1312,1120,357,812,89,901,200,en,3.430516,1798
1313,945,336,767,84,851,200,en,2.886516,1799
1314,1051,344,799,86,885,200,en,5.822964,1800
1315,1131,336,814,84,898,200,en,2.633224,1801
1316,849,311,744,77,821,200,en,3.771799,1802
1317,1142,439,818,109,927,200,en,2.883432,1803
1318,998,292,1036,132,1168,200,ru,4.149692,1834
1319,2359,550,1130,137,1267,200,en,3.98349,1804
1320,2598,550,1196,137,1333,200,en,6.74738,1805
1321,2053,444,1045,111,1156,200,en,3.956229,1806
1322,3997,729,1566,182,1748,200,en,5.408855,1807
1323,2653,352,1198,88,1286,200,en,3.105052,1808
1324,2775,600,1237,150,1387,200,en,4.55355,1809
1325,2598,549,1196,137,1333,200,en,4.849592,1805
1326,2053,421,1045,105,1150,200,en,3.409654,1806
1327,3997,712,1566,178,1744,200,en,5.325685,1807
1328,2653,424,1198,106,1304,200,en,3.814326,1808
1329,2775,614,1237,153,1390,200,en,5.370735,1809
