,article_size,summary_size,prompt_tokens,completion_tokens,total_tokens,status,lang,delta,id
749,3817,393,2349,176,2525,200,ru,5.269355,2431
750,931,209,1009,92,1101,200,ru,3.371099,1060
751,900,290,993,133,1126,200,ru,4.172698,1061
752,1446,544,1239,247,1486,200,ru,5.222114,1062
753,1390,208,1215,90,1305,200,ru,4.271929,1063
754,1942,370,1463,166,1629,200,ru,5.319259,1064
755,2165,185,1569,85,1654,200,ru,2.685974,1069
756,2643,529,1790,243,2033,200,ru,6.205391,1070
757,2414,438,1678,203,1881,200,ru,4.933636,1071
758,1965,553,1483,257,1740,200,ru,6.901498,1072
759,2087,344,1535,158,1693,200,ru,5.331425,159
760,1775,191,1391,88,1479,200,ru,2.866352,1073
761,1328,112,1194,52,1246,200,ru,1.583192,1074
762,2269,401,1610,185,1795,200,ru,4.252177,1075
763,1250,133,1153,61,1214,200,ru,1.913877,1076
764,1598,250,1313,114,1427,200,ru,2.971085,1077
765,1649,159,1343,73,1416,200,ru,2.23375,1082
766,2146,478,1572,217,1789,200,ru,4.820436,338
767,1769,533,1388,245,1633,200,ru,5.345699,1083
768,1865,346,1437,159,1596,200,ru,4.736097,1084
769,1696,529,1373,243,1616,200,ru,5.347308,1085
770,2246,354,1625,162,1787,200,ru,3.990227,1086
771,1408,420,1240,194,1434,200,ru,4.06049,1087
772,1343,408,1195,185,1380,200,ru,4.736914,1165
773,1977,286,1498,128,1626,200,ru,3.776377,1088
774,1014,201,1045,88,1133,200,ru,3.174829,1089
775,3725,344,2297,154,2451,200,ru,4.819209,1094
776,4008,454,2416,206,2622,200,ru,6.694999,1095
777,4818,205,2788,91,2879,200,ru,3.297765,1096
778,4752,491,2719,221,2940,200,ru,7.600289,1097
779,4276,676,2464,309,2773,200,ru,9.256252,1098
780,1014,183,1045,81,1126,200,ru,3.060804,1089
781,912,221,1003,99,1102,200,ru,4.896505,1101
782,5095,345,2907,154,3061,200,ru,5.284438,1102
783,3605,489,2227,223,2450,200,ru,5.448162,1103
784,3203,533,1349,133,1482,200,en,3.919111,1104
785,5138,535,1833,133,1966,200,en,4.1662,1112
786,326,140,612,35,647,200,en,1.664428,1113
787,1560,467,923,116,1039,200,en,3.617959,1114
788,5095,229,2907,103,3010,200,ru,3.506277,1102
789,3203,764,1349,191,1540,200,en,5.404733,1104
790,1662,353,950,88,1038,200,en,2.905071,1120
791,5178,787,1859,197,2056,200,en,7.836273,1121
792,3566,568,1432,142,1574,200,en,4.391986,1122
793,2138,492,1070,123,1193,200,en,3.899853,1123
794,9793,783,3013,195,3208,200,en,6.104397,1124
795,6591,951,2207,237,2444,200,en,6.400485,1131
796,5178,791,1859,198,2057,200,en,6.229622,1121
797,3566,590,1432,148,1580,200,en,4.954217,1122
798,9793,815,3013,203,3216,200,en,5.995681,1124
799,2015,521,1044,130,1174,200,en,4.442869,1140
800,2413,486,1139,121,1260,200,en,4.078118,1141
801,933,319,767,79,846,200,en,2.805248,1142
802,940,287,772,71,843,200,en,2.361155,1143
803,901,381,756,95,851,200,en,3.298271,1144
804,1046,213,792,53,845,200,en,2.12355,1145
805,2445,437,1144,109,1253,200,en,5.922672,1150
806,1229,153,1145,68,1213,200,ru,3.352278,1151
807,589,252,679,63,742,200,en,2.590512,3381
808,807,185,954,85,1039,200,ru,2.750682,1152
809,4756,668,1733,167,1900,200,en,5.227071,1153
810,925,368,1002,167,1169,200,ru,4.499316,1154
811,834,158,967,71,1038,200,ru,1.925704,1155
812,2125,320,1567,148,1715,200,ru,3.823698,1156
813,583,137,857,63,920,200,ru,1.62003,1157
814,3055,679,1309,169,1478,200,en,4.759981,1159
815,3055,678,1309,169,1478,200,en,4.873003,1159
816,1633,365,939,91,1030,200,en,2.980042,1166
817,990,486,779,121,900,200,en,3.632649,1167
818,2462,538,1706,245,1951,200,ru,8.31856,1168
819,4377,797,1626,199,1825,200,en,5.723379,1169
820,3706,595,1457,148,1605,200,en,3.826869,1170
821,1049,346,793,86,879,200,en,2.794813,1171
822,2987,546,1278,136,1414,200,en,4.724509,1172
823,2579,508,1176,127,1303,200,en,4.107713,1173
824,1132,339,1104,155,1259,200,ru,4.920156,1174
825,1059,217,1072,99,1171,200,ru,2.715888,1179
826,1297,332,1176,151,1327,200,ru,3.95159,1180
827,170,162,574,40,614,200,en,1.610681,3383
828,587,73,853,33,886,200,ru,1.746683,1181
829,952,150,1014,66,1080,200,ru,2.040135,1182
830,1138,340,1100,150,1250,200,ru,5.030409,1183
831,865,140,977,63,1040,200,ru,2.032233,1184
832,3324,629,1372,157,1529,200,en,3.638152,1185
833,84,47,552,11,563,200,en,0.82577,1186
834,2681,483,1200,120,1320,200,en,3.819348,1187
835,498,318,656,79,735,200,en,4.092962,1192
836,1924,604,1013,151,1164,200,en,4.707624,1193
837,1883,524,1002,131,1133,200,en,3.678708,1194
838,982,406,776,101,877,200,en,3.079549,1488
839,1970,536,1023,134,1157,200,en,4.038592,1195
840,4067,700,1565,175,1740,200,en,6.055901,1196
841,3058,562,1310,140,1450,200,en,4.482922,1197
842,2965,545,1284,136,1420,200,en,4.073896,1198
843,3166,543,1331,135,1466,200,en,4.437516,1199
844,3724,572,1468,143,1611,200,en,5.45135,1200
845,4067,549,1565,137,1702,200,en,5.027657,1196
846,3058,555,1310,138,1448,200,en,4.589479,1197
847,3724,474,1468,118,1586,200,en,5.034165,1200
848,946,430,1025,198,1223,200,ru,6.183948,1208
849,1310,518,1195,240,1435,200,ru,6.129582,1209
850,857,372,981,171,1152,200,ru,5.329101,1210
851,1039,402,1066,182,1248,200,ru,4.935814,1211
852,1002,86,1039,39,1078,200,ru,1.768782,1217
853,7060,815,3803,368,4171,200,ru,8.995409,1523
854,1752,597,1372,277,1649,200,ru,8.758651,1212
855,2732,630,1214,157,1371,200,en,5.112074,1218
856,1908,481,1446,216,1662,200,ru,5.401169,1219
857,3440,448,2130,203,2333,200,ru,4.907903,1220
858,1955,443,1487,207,1694,200,ru,5.448913,1221
859,2054,441,1494,192,1686,200,ru,4.426249,1222
860,2433,487,1641,201,1842,200,ru,7.274228,1524
861,1151,304,1117,141,1258,200,ru,3.785703,1223
862,3702,730,2254,333,2587,200,ru,9.597319,1226
863,3382,480,2119,219,2338,200,ru,5.733744,1227
864,3520,660,2196,304,2500,200,ru,7.633996,1228
865,572,156,839,66,905,200,ru,3.252178,1234
866,2239,602,1613,277,1890,200,ru,6.402623,1525
867,3561,539,1421,134,1555,200,en,3.842362,3386
868,3702,734,2254,335,2589,200,ru,9.601003,1226
869,849,283,975,130,1105,200,ru,3.309218,1235
870,1384,230,1215,105,1320,200,ru,3.63708,1236
871,567,342,850,156,1006,200,ru,3.936661,1237
872,4072,677,2457,312,2769,200,ru,6.871897,1238
873,1094,337,1091,156,1247,200,ru,3.786136,1239
874,6796,285,3644,128,3772,200,ru,5.627378,1240
875,1966,469,1479,215,1694,200,ru,6.456372,1245
876,1454,297,1237,134,1371,200,ru,3.928893,1246
877,1541,279,1287,128,1415,200,ru,3.290588,1247
878,999,84,1025,37,1062,200,ru,1.459903,1248
879,1664,278,1337,127,1464,200,ru,3.818671,1249
880,2548,394,1752,183,1935,200,ru,4.440543,1250
881,2539,364,1743,167,1910,200,ru,4.857131,1251
882,2338,79,1647,37,1684,200,ru,1.329981,1252
883,1407,222,1229,102,1331,200,ru,2.845494,1253
884,766,277,723,69,792,200,en,2.814956,1276
885,7526,1066,2440,266,2706,200,en,6.659608,1258
886,5675,850,1959,212,2171,200,en,6.130454,1259
887,1404,506,1237,235,1472,200,ru,6.170424,1261
888,1013,141,1053,64,1117,200,ru,1.855952,1262
889,3266,668,1347,167,1514,200,en,5.413365,1277
890,999,147,1050,68,1118,200,ru,2.180738,1263
891,1622,228,1338,106,1444,200,ru,3.041856,1264
892,1371,274,1207,121,1328,200,ru,4.119811,1265
893,571,138,852,64,916,200,ru,1.729282,1266
894,2987,578,1966,264,2230,200,ru,8.156069,1267
895,2422,463,1141,115,1256,200,en,3.299502,1271
896,1979,379,1026,94,1120,200,en,3.196362,1272
897,1532,370,918,92,1010,200,en,2.679198,1273
898,2522,721,1162,180,1342,200,en,5.493866,1278
899,3554,603,1419,150,1569,200,en,3.978309,1279
900,1512,260,1265,117,1382,200,ru,3.289545,1280
901,1713,183,1367,81,1448,200,ru,2.949942,1281
902,197,169,679,73,752,200,ru,2.62224,1282
903,13479,795,6520,354,6874,200,ru,9.164099,1283
904,6409,648,3493,274,3767,200,ru,14.056477,1284
905,830,304,963,135,1098,200,ru,4.044114,1290
906,1974,688,1492,316,1808,200,ru,6.869338,1291
907,3398,386,2156,177,2333,200,ru,4.196733,1292
908,930,361,763,90,853,200,en,2.908568,1296
909,751,373,718,93,811,200,en,2.447301,1321
910,2233,403,1607,182,1789,200,ru,4.533912,1297
911,2009,457,1498,208,1706,200,ru,6.288577,1298
912,1658,252,1339,115,1454,200,ru,3.483024,1299
913,1633,251,1329,115,1444,200,ru,3.387409,1300
914,1013,206,1046,94,1140,200,ru,2.678594,1301
915,745,313,923,140,1063,200,ru,4.170887,1306
916,1666,420,1346,194,1540,200,ru,5.110302,1307
917,2063,393,1525,179,1704,200,ru,5.337477,1308
918,978,249,1024,112,1136,200,ru,3.813438,1309
919,1835,254,1410,115,1525,200,ru,2.908211,1310
920,1539,378,1280,170,1450,200,ru,5.071504,1311
921,2510,586,1158,146,1304,200,en,3.724219,1313
922,4615,723,1699,180,1879,200,en,5.934529,1314
923,375,244,756,109,865,200,ru,3.65805,1316
924,1313,443,1184,203,1387,200,ru,6.119379,1317
925,1313,331,1184,151,1335,200,ru,4.854482,1317
926,1532,389,918,97,1015,200,en,3.599085,1322
927,1443,131,1235,61,1296,200,ru,1.782653,1323
928,1121,525,1106,242,1348,200,ru,6.7162,1324
929,2698,516,1209,129,1338,200,en,5.090123,1325
930,2524,703,1163,175,1338,200,en,5.379302,1326
931,8111,865,2574,216,2790,200,en,6.904443,1327
932,2528,438,1739,196,1935,200,ru,4.951371,1328
933,573,201,675,50,725,200,en,2.02467,2332
934,1258,109,1148,50,1198,200,ru,1.603514,1329
935,1335,412,1207,190,1397,200,ru,4.814511,1340
936,3671,491,2248,222,2470,200,ru,5.096448,1341
937,931,193,1005,85,1090,200,ru,2.99744,1334
938,1532,428,918,107,1025,200,en,3.021018,1335
939,3266,668,1347,167,1514,200,en,5.041958,1336
940,7385,1087,2400,271,2671,200,en,7.976402,1337
941,978,143,1034,65,1099,200,ru,2.031339,1338
942,1545,469,1304,216,1520,200,ru,5.413605,1339
943,8666,617,4539,280,4819,200,ru,8.112146,1342
944,1599,215,1317,95,1412,200,ru,3.150185,1343
945,2916,549,1916,252,2168,200,ru,5.885222,1358
946,2799,593,1719,262,1981,200,ru,6.746913,2333
947,1247,270,1138,113,1251,200,ru,4.336912,1348
948,495,133,812,57,869,200,ru,1.873578,1349
949,1653,438,1342,201,1543,200,ru,6.056322,1350
950,1567,373,1296,170,1466,200,ru,3.985544,1351
951,1185,427,1133,195,1328,200,ru,5.129681,1352
952,257,153,703,68,771,200,ru,1.905551,2341
953,2760,350,1837,160,1997,200,ru,3.977653,2342
954,2080,581,1534,270,1804,200,ru,6.900223,1353
955,1410,590,1241,274,1515,200,ru,5.896224,1359
956,1848,427,1438,196,1634,200,ru,4.771552,1360
957,1080,304,1082,140,1222,200,ru,3.517978,1361
958,1163,274,1114,121,1235,200,ru,3.705466,1362
959,813,168,960,76,1036,200,ru,2.200452,1363
960,1658,318,1339,144,1483,200,ru,4.061147,1364
961,1837,499,1431,225,1656,200,ru,5.966525,1365
962,527,109,828,48,876,200,ru,2.075691,1366
963,1480,299,1245,131,1376,200,ru,3.618322,1367
964,1248,482,1157,218,1375,200,ru,5.601773,1368
965,2057,537,1533,249,1782,200,ru,5.597111,1372
966,643,65,881,30,911,200,ru,1.602943,1373
967,942,198,1022,90,1112,200,ru,2.70633,1374
968,134,103,653,48,701,200,ru,1.654444,1375
969,3227,420,2066,194,2260,200,ru,4.656906,1376
970,2075,396,1527,181,1708,200,ru,5.374204,1377
971,1181,180,1128,81,1209,200,ru,2.843876,1378
972,916,159,1015,73,1088,200,ru,2.697592,1379
973,419,151,774,68,842,200,ru,2.247812,1380
974,696,155,901,69,970,200,ru,2.4588,1381
975,634,237,883,110,993,200,ru,2.913808,1387
976,1080,199,1085,92,1177,200,ru,3.222072,1388
977,1571,100,1310,45,1355,200,ru,1.821804,1389
978,8095,540,4277,247,4524,200,ru,7.024995,1390
979,773,92,941,41,982,200,ru,1.458998,1391
980,1240,321,1158,145,1303,200,ru,5.060171,1392
981,935,198,1019,91,1110,200,ru,2.197354,1393
982,469,145,806,67,873,200,ru,2.577386,1394
983,585,72,855,31,886,200,ru,1.670426,1395
984,2093,393,1536,180,1716,200,ru,4.515929,1396
985,969,267,776,66,842,200,en,2.898302,1402
986,2368,518,1139,129,1268,200,en,4.508471,1403
987,1786,433,977,108,1085,200,en,3.058971,1404
988,2609,559,1183,139,1322,200,en,4.358321,1405
989,4822,699,1736,174,1910,200,en,5.356583,1406
990,3290,766,1353,191,1544,200,en,6.006637,1407
991,1540,460,916,115,1031,200,en,4.040417,1408
992,3512,707,1430,176,1606,200,en,5.521279,1409
993,1091,278,1091,129,1220,200,ru,3.602481,1419
994,854,110,978,47,1025,200,ru,2.362122,1410
995,269,185,599,46,645,200,en,1.975263,1431
996,2090,281,1547,131,1678,200,ru,3.59144,1414
997,1693,282,1372,125,1497,200,ru,3.73733,1415
998,2328,522,1657,235,1892,200,ru,7.037508,1416
999,1229,378,1149,173,1322,200,ru,4.028519,1417
1000,2276,543,1629,249,1878,200,ru,5.473597,1418
1001,356,249,621,62,683,200,en,1.921767,1432
1002,42856,1954,11242,488,11730,200,en,16.031558,1433
1003,1591,583,1320,268,1588,200,ru,5.540145,1420
1004,1349,260,1206,118,1324,200,ru,3.463288,1421
1005,440,233,641,58,699,200,en,2.566551,1434
1006,326,148,613,37,650,200,en,1.269364,1435
1007,1349,263,1206,119,1325,200,ru,3.146108,1421
1008,1740,445,1380,205,1585,200,ru,5.4452,1425
1009,1125,252,1106,116,1222,200,ru,3.482512,1426
1010,2019,194,1515,90,1605,200,ru,2.413035,1427
1011,1026,142,1052,64,1116,200,ru,2.042818,1428
1012,1129,405,813,101,914,200,en,3.038052,1429
1013,2471,664,1150,166,1316,200,en,5.789885,1450
1014,2509,656,1158,164,1322,200,en,4.944319,1451
1015,2300,566,1121,141,1262,200,en,4.632671,1454
1016,3342,748,1368,187,1555,200,en,5.547092,1455
1017,910,362,762,90,852,200,en,3.183663,1456
1018,491,393,653,98,751,200,en,2.585013,1457
1019,453,343,644,85,729,200,en,2.511398,1458
1020,486,200,654,50,704,200,en,1.87378,1459
1021,304,165,606,41,647,200,en,1.814505,1460
1022,2471,663,1150,165,1315,200,en,4.641376,1450
1023,2509,656,1158,164,1322,200,en,4.428,1451
1024,1588,187,1299,85,1384,200,ru,2.564113,1461
1025,1597,412,1318,191,1509,200,ru,5.736086,1462
1026,2700,273,1809,125,1934,200,ru,3.17645,1463
1027,4031,418,2449,195,2644,200,ru,4.508728,1464
1028,2050,127,1517,58,1575,200,ru,2.38305,1465
1029,1471,170,1250,77,1327,200,ru,2.483473,1466
1030,1070,71,1073,33,1106,200,ru,1.326972,1467
1031,1665,260,1320,111,1431,200,ru,4.108664,1469
1032,1686,376,1352,170,1522,200,ru,4.573852,1470
1033,1775,465,1380,211,1591,200,ru,5.435593,1471
1034,1985,528,1492,243,1735,200,ru,6.861176,1472
1035,1985,318,1492,145,1637,200,ru,4.040496,1472
1036,1954,368,1452,166,1618,200,ru,5.196332,1473
1037,1888,273,1447,124,1571,200,ru,3.39835,1474
1038,1270,226,1164,103,1267,200,ru,3.093969,1475
1039,3014,477,1962,219,2181,200,ru,5.869592,1476
1040,1393,204,1222,95,1317,200,ru,2.573539,1477
1041,1358,251,1203,117,1320,200,ru,3.208447,1478
1042,2002,406,1502,188,1690,200,ru,4.653197,1480
1043,257,82,703,34,737,200,ru,1.680502,1481
1044,1591,416,1312,190,1502,200,ru,5.856887,1482
